gene_id,gene_type,gene_short_name,merged_logit_coeff
ENSMUSG00000059974.10,protein_coding,Ntm,1.6391713382577109
ENSMUSG00000017692.8,protein_coding,Rhbdl3,1.6375957105429861
ENSMUSG00000024109.18,protein_coding,Nrxn1,1.6322383434474301
ENSMUSG00000027200.17,protein_coding,Sema6d,1.6206484358932218
ENSMUSG00000031557.16,protein_coding,Plekha2,1.6131140912963975
ENSMUSG00000023800.14,protein_coding,Tiam2,1.6092224486105104
ENSMUSG00000038732.14,protein_coding,Mboat1,1.5960937657159362
ENSMUSG00000040855.15,protein_coding,Reps2,1.5795874598098159
ENSMUSG00000041741.10,protein_coding,Pde3a,1.5592767253347333
ENSMUSG00000033854.9,protein_coding,Kcnk10,1.5514838092638767
ENSMUSG00000059921.15,protein_coding,Unc5c,1.501755742093816
ENSMUSG00000057880.12,protein_coding,Abat,1.482788041481181
ENSMUSG00000022494.13,protein_coding,Shisa9,1.4714944563916803
ENSMUSG00000038400.15,protein_coding,Pmepa1,1.4712659016682332
ENSMUSG00000057816.7,protein_coding,1700007G11Rik,1.4637600929875785
ENSMUSG00000021700.9,protein_coding,Rab3c,1.463318426834
ENSMUSG00000031772.17,protein_coding,Cntnap4,1.4553160488801105
ENSMUSG00000026043.18,protein_coding,Col3a1,1.4435972412311529
ENSMUSG00000029088.16,protein_coding,Kcnip4,1.442940568403118
ENSMUSG00000039903.16,protein_coding,Eva1c,1.4391045748753801
ENSMUSG00000024236.18,protein_coding,Svil,1.4383412641610929
ENSMUSG00000008658.15,protein_coding,Rbfox1,1.4364808032963587
ENSMUSG00000053930.13,protein_coding,Shisa6,1.4331314929162708
ENSMUSG00000069670.7,protein_coding,Nkain2,1.432362852816037
ENSMUSG00000037940.17,protein_coding,Inpp4b,1.4195659296452436
ENSMUSG00000032023.7,protein_coding,Jhy,1.405823791226764
ENSMUSG00000022514.14,protein_coding,Il1rap,1.4013385880737026
ENSMUSG00000022887.8,protein_coding,Masp1,1.3948366748759147
ENSMUSG00000036766.12,protein_coding,Dner,1.3918237462036624
ENSMUSG00000025006.15,protein_coding,Sorbs1,1.3873081968097034
ENSMUSG00000048251.15,protein_coding,Bcl11b,1.3850242273569124
ENSMUSG00000038831.16,protein_coding,Ralgps1,1.3803246649534424
ENSMUSG00000032020.15,protein_coding,Ubash3b,1.3704711770814089
ENSMUSG00000053141.16,protein_coding,Ptprt,1.3655081830300362
ENSMUSG00000030428.16,protein_coding,Ttyh1,1.3541221156210317
ENSMUSG00000031517.8,protein_coding,Gpm6a,1.35236863429787
ENSMUSG00000040363.15,protein_coding,Bcor,1.3520168563378685
ENSMUSG00000046178.3,protein_coding,Nxph1,1.3201729844111656
ENSMUSG00000018849.6,protein_coding,Wwc1,1.3112126809036149
ENSMUSG00000062190.12,protein_coding,Lancl2,1.3035951044093559
ENSMUSG00000005534.10,protein_coding,Insr,1.295683762329001
ENSMUSG00000039419.17,protein_coding,Cntnap2,1.2936291070275021
ENSMUSG00000071324.11,protein_coding,Armc2,1.288095632899444
ENSMUSG00000036961.4,protein_coding,Wnt8b,1.2760804157850885
ENSMUSG00000033420.12,protein_coding,Antxr1,1.269105857313189
ENSMUSG00000058897.17,protein_coding,Col25a1,1.2669883584054638
ENSMUSG00000005237.14,protein_coding,Dnah2,1.2616279194256301
ENSMUSG00000036466.17,protein_coding,Megf11,1.2592508026501448
ENSMUSG00000018340.13,protein_coding,Anxa6,1.257947328150023
ENSMUSG00000057098.14,protein_coding,Ebf1,1.2189544114523354
ENSMUSG00000050587.14,protein_coding,Lrrc4c,1.2128692704777737
ENSMUSG00000071550.13,protein_coding,Cfap44,1.2090560911156567
ENSMUSG00000006586.15,protein_coding,Runx1t1,1.1958516507001467
ENSMUSG00000059173.19,protein_coding,Pde1a,1.1930710238126756
ENSMUSG00000028389.11,protein_coding,Zfp37,1.1928986491935443
ENSMUSG00000029765.12,protein_coding,Plxna4,1.1894956685622289
ENSMUSG00000002688.7,protein_coding,Prkd1,1.188723749014878
ENSMUSG00000040327.16,protein_coding,Cul9,1.181699865703248
ENSMUSG00000024921.17,protein_coding,Smarca2,1.1805289899536129
ENSMUSG00000020719.14,protein_coding,Ddx5,1.1707275444104035
ENSMUSG00000051048.17,protein_coding,P4ha3,1.1641133059639612
ENSMUSG00000025089.15,protein_coding,Gfra1,1.1602097676015772
ENSMUSG00000002625.9,protein_coding,Akap8l,1.159075903451373
ENSMUSG00000026347.13,protein_coding,Tmem163,1.1590339508606462
ENSMUSG00000020705.6,protein_coding,Ddx42,1.1585800996173699
ENSMUSG00000041180.13,protein_coding,Hectd2,1.1560396497975762
ENSMUSG00000039578.16,protein_coding,Ccser1,1.145865266865842
ENSMUSG00000101174.6,protein_coding,Hoxd4,1.1379632709358223
ENSMUSG00000049252.17,protein_coding,Lrp1b,1.1359825503186558
ENSMUSG00000040720.15,protein_coding,1110037F02Rik,1.1301292678031454
ENSMUSG00000063297.7,protein_coding,Luzp2,1.1268208244339766
ENSMUSG00000021313.15,protein_coding,Ryr2,1.1255105892210127
ENSMUSG00000056602.11,protein_coding,Fry,1.1245635789133135
ENSMUSG00000008575.17,protein_coding,Nfib,1.116688767560645
ENSMUSG00000068457.14,protein_coding,Uty,1.116127083471788
ENSMUSG00000039706.11,protein_coding,Ldb2,1.1150395123816623
ENSMUSG00000041119.11,protein_coding,Pde9a,1.1047901733181993
ENSMUSG00000039765.15,protein_coding,Cc2d2a,1.100446642361907
ENSMUSG00000053965.10,protein_coding,Pde5a,1.099514264225773
ENSMUSG00000029769.16,protein_coding,Ccdc136,1.0994379660899476
ENSMUSG00000053825.14,protein_coding,Ppfia2,1.0890155870248912
ENSMUSG00000027546.15,protein_coding,Atp9a,1.0832450975177896
ENSMUSG00000092094.5,protein_coding,Zfp804b,1.077089513751553
ENSMUSG00000033965.10,protein_coding,Slc16a2,1.0767648024179728
ENSMUSG00000032482.9,protein_coding,Cspg5,1.067470679136679
ENSMUSG00000036298.10,protein_coding,Slc2a13,1.0614396659353584
ENSMUSG00000027400.11,protein_coding,Pdyn,1.053578143025211
ENSMUSG00000014763.7,protein_coding,Fam120b,1.042770107523712
ENSMUSG00000022425.15,protein_coding,Enpp2,1.0387531206524108
ENSMUSG00000063434.5,protein_coding,Sorcs3,1.0379206248516168
ENSMUSG00000030513.14,protein_coding,Pcsk6,1.0374318110561802
ENSMUSG00000040415.15,protein_coding,Dtx3,1.0361608512097555
ENSMUSG00000029661.16,protein_coding,Col1a2,1.027941470595489
ENSMUSG00000026686.14,protein_coding,Lmx1a,1.0276205432750602
ENSMUSG00000030351.5,protein_coding,Tspan11,1.0239474411669702
ENSMUSG00000026463.17,protein_coding,Atp2b4,1.018422595379056
ENSMUSG00000003279.16,protein_coding,Dlgap1,1.0163320506082263
ENSMUSG00000000197.7,protein_coding,Nalcn,1.0141491042604405
ENSMUSG00000069919.7,protein_coding,Hba-a1,1.0107813964326156
ENSMUSG00000001995.9,protein_coding,Sipa1l2,1.0091849857272046
ENSMUSG00000025889.13,protein_coding,Snca,1.009050944961638
ENSMUSG00000015968.16,protein_coding,Cacna1d,1.0088474066941944
ENSMUSG00000026586.16,protein_coding,Prrx1,0.9985725676579089
ENSMUSG00000029167.13,protein_coding,Ppargc1a,0.997945540531242
ENSMUSG00000028194.15,protein_coding,Ddah1,0.9913491870533482
ENSMUSG00000029309.7,protein_coding,Sparcl1,0.9912030567720416
ENSMUSG00000022382.14,protein_coding,Wnt7b,0.9897431583689025
ENSMUSG00000063568.11,protein_coding,Jazf1,0.9841559185891727
ENSMUSG00000037266.18,protein_coding,Rsrp1,0.9828830474465373
ENSMUSG00000003974.6,protein_coding,Grm3,0.9813518924777458
ENSMUSG00000075590.2,protein_coding,Nrbp2,0.9802304802697318
ENSMUSG00000005583.16,protein_coding,Mef2c,0.9794451202604022
ENSMUSG00000035864.14,protein_coding,Syt1,0.9779016942644669
ENSMUSG00000096054.3,protein_coding,Syne1,0.975995801666087
ENSMUSG00000046182.8,protein_coding,Gsg1l,0.9671387939010296
ENSMUSG00000055026.13,protein_coding,Gabrg3,0.9600668323551587
ENSMUSG00000038668.14,protein_coding,Lpar1,0.9539111083518323
ENSMUSG00000046743.6,protein_coding,Fat4,0.9522671785378987
ENSMUSG00000079157.4,protein_coding,Fam155a,0.951214501505423
ENSMUSG00000028883.17,protein_coding,Sema3a,0.9507918663563377
ENSMUSG00000024421.16,protein_coding,Lama3,0.9466353619841833
ENSMUSG00000055447.18,protein_coding,Cd47,0.9422991557466378
ENSMUSG00000000325.15,protein_coding,Arvcf,0.9385262656208034
ENSMUSG00000051435.11,protein_coding,Fhad1,0.9352900141595164
ENSMUSG00000030029.14,protein_coding,Lrig1,0.9262929351184904
ENSMUSG00000019874.11,protein_coding,Fabp7,0.9227122939430881
ENSMUSG00000048747.14,protein_coding,E130114P18Rik,0.921280676686208
ENSMUSG00000022807.8,protein_coding,Osbpl11,0.9196981042282668
ENSMUSG00000029638.17,protein_coding,Glcci1,0.9162528128835594
ENSMUSG00000059810.18,protein_coding,Rgs3,0.9112590889827268
ENSMUSG00000053519.15,protein_coding,Kcnip1,0.9090010244578344
ENSMUSG00000061601.15,protein_coding,Pclo,0.9089329836721999
ENSMUSG00000046230.9,protein_coding,Vps13a,0.9070489573076644
ENSMUSG00000043635.12,protein_coding,Adamts3,0.905682635286365
ENSMUSG00000043831.12,protein_coding,Lysmd4,0.9038768250237923
ENSMUSG00000054733.9,protein_coding,Msra,0.9037248533010023
ENSMUSG00000002341.8,protein_coding,Ncan,0.901827085476306
ENSMUSG00000067158.9,protein_coding,Col4a4,0.9012199196120022
ENSMUSG00000019990.15,protein_coding,Pde7b,0.9002248644945694
ENSMUSG00000050965.14,protein_coding,Prkca,0.8908697044551893
ENSMUSG00000041936.18,protein_coding,Agrn,0.8901627873710893
ENSMUSG00000002459.17,protein_coding,Rgs20,0.890003207520743
ENSMUSG00000020704.13,protein_coding,Asic2,0.8872411208830366
ENSMUSG00000019892.12,protein_coding,Lrriq1,0.885097964743891
ENSMUSG00000010461.14,protein_coding,Eya4,0.88415382740492
ENSMUSG00000055254.14,protein_coding,Ntrk2,0.8822681305700577
ENSMUSG00000026932.14,protein_coding,Nacc2,0.8797605293161201
ENSMUSG00000041923.15,protein_coding,Nol4,0.87731393446924
ENSMUSG00000055322.15,protein_coding,Tns1,0.8739513658888869
ENSMUSG00000050271.12,protein_coding,D8Ertd82e,0.8684493657637181
ENSMUSG00000030930.14,protein_coding,Chst15,0.858677964720221
ENSMUSG00000018593.13,protein_coding,Sparc,0.8575796012478117
ENSMUSG00000036139.6,protein_coding,Hoxc9,0.85732543101313
ENSMUSG00000020111.15,protein_coding,Micu1,0.8560687282788669
ENSMUSG00000045672.15,protein_coding,Col27a1,0.8555879717338537
ENSMUSG00000036218.15,protein_coding,Pdzrn4,0.8533391204025369
ENSMUSG00000039375.16,protein_coding,Wdr17,0.8522541272864789
ENSMUSG00000039031.15,protein_coding,Arhgap18,0.8519495713422938
ENSMUSG00000022858.15,protein_coding,Tra2b,0.8504914864491724
ENSMUSG00000024513.16,protein_coding,Mbd2,0.8496676583764466
ENSMUSG00000061175.11,protein_coding,Fnip2,0.8487903052468324
ENSMUSG00000000861.15,protein_coding,Bcl11a,0.8457034206885736
ENSMUSG00000058756.13,protein_coding,Thra,0.8452010123100951
ENSMUSG00000057182.14,protein_coding,Scn3a,0.844702957518558
ENSMUSG00000075028.11,protein_coding,Prdm11,0.8442462069903436
ENSMUSG00000071856.10,protein_coding,Mcc,0.8440011101897409
ENSMUSG00000038497.7,protein_coding,Tmco3,0.8434143423337718
ENSMUSG00000021448.6,protein_coding,Shc3,0.8413967807599787
ENSMUSG00000064280.13,protein_coding,Ccdc146,0.839461223338372
ENSMUSG00000028521.17,protein_coding,Slc35d1,0.8388108558228521
ENSMUSG00000036356.15,protein_coding,Csgalnact1,0.837999480909641
ENSMUSG00000020142.12,protein_coding,Slc1a4,0.8378255275277455
ENSMUSG00000029729.12,protein_coding,Zkscan1,0.8361925883299459
ENSMUSG00000034290.9,protein_coding,Nek9,0.8315902949895178
ENSMUSG00000023999.14,protein_coding,Kif6,0.8311279118849559
ENSMUSG00000038296.14,protein_coding,Galnt18,0.8298407004742091
ENSMUSG00000022194.15,protein_coding,Pabpn1,0.822767735457633
ENSMUSG00000032220.10,protein_coding,Myo1e,0.8222329298843437
ENSMUSG00000022973.17,protein_coding,Synj1,0.8186256586908887
ENSMUSG00000026482.13,protein_coding,Rgl1,0.8167476413768611
ENSMUSG00000031616.7,protein_coding,Ednra,0.8164957229780274
ENSMUSG00000029822.15,protein_coding,Osbpl3,0.8164085459476836
ENSMUSG00000058589.14,protein_coding,Anks1b,0.8160490497007844
ENSMUSG00000040040.16,protein_coding,Ift88,0.8140773052520054
ENSMUSG00000030852.17,protein_coding,Tacc2,0.8140171024257173
ENSMUSG00000039278.10,protein_coding,Pcsk1n,0.8134219080288525
ENSMUSG00000031921.17,protein_coding,Terf2,0.8128724248724224
ENSMUSG00000025453.16,protein_coding,Nnt,0.812196919218738
ENSMUSG00000019888.15,protein_coding,Mgat4c,0.8113290538098479
ENSMUSG00000030315.15,protein_coding,Vgll4,0.8109560830347642
ENSMUSG00000032965.10,protein_coding,Ift57,0.8101737986878532
ENSMUSG00000055373.8,protein_coding,Fut9,0.8061933499054216
ENSMUSG00000022053.13,protein_coding,Ebf2,0.8036657292151711
ENSMUSG00000001657.7,protein_coding,Hoxc8,0.8036012762327776
ENSMUSG00000019929.15,protein_coding,Dcn,0.8021410925354336
ENSMUSG00000027508.15,protein_coding,Pag1,0.8019534654300736
ENSMUSG00000018800.14,protein_coding,Abca5,0.8015311122598362
ENSMUSG00000047766.15,protein_coding,Lrrc49,0.7998373962670113
ENSMUSG00000040896.16,protein_coding,Kcnd3,0.7974037273266257
ENSMUSG00000029512.11,protein_coding,Ulk1,0.7972424565825105
ENSMUSG00000022935.15,protein_coding,Grik1,0.7939012094331453
ENSMUSG00000024534.15,protein_coding,Sncaip,0.7935058108870325
ENSMUSG00000023931.4,protein_coding,Efhb,0.7914496623096108
ENSMUSG00000032017.14,protein_coding,Grik4,0.7906863966557437
ENSMUSG00000023886.9,protein_coding,Smoc2,0.7880846675744949
ENSMUSG00000061186.15,protein_coding,Sfmbt2,0.7879596655598552
ENSMUSG00000024805.15,protein_coding,Pcgf5,0.786028254620647
ENSMUSG00000002055.9,protein_coding,Spag5,0.7838483173494666
ENSMUSG00000049176.14,protein_coding,Frmpd4,0.7832612007924398
ENSMUSG00000031963.8,protein_coding,Bmper,0.782554370674881
ENSMUSG00000046709.16,protein_coding,Mapk10,0.7823943866020213
ENSMUSG00000023990.18,protein_coding,Tfeb,0.7806102640404755
ENSMUSG00000021219.16,protein_coding,Rgs6,0.7802935402702056
ENSMUSG00000062762.16,protein_coding,Ei24,0.7802200200389643
ENSMUSG00000040473.15,protein_coding,Cfap69,0.7801704398781203
ENSMUSG00000036402.13,protein_coding,Gng12,0.7801636021571103
ENSMUSG00000055471.6,protein_coding,Alk,0.7783439969828053
ENSMUSG00000037822.12,protein_coding,Smim14,0.7767021606131091
ENSMUSG00000028879.4,protein_coding,Stx12,0.7748604233857105
ENSMUSG00000061911.14,protein_coding,Myt1l,0.7731297984171187
ENSMUSG00000056258.8,protein_coding,Kcnq3,0.7708338847741634
ENSMUSG00000024535.15,protein_coding,Snx24,0.770622681691056
ENSMUSG00000024245.4,protein_coding,Tmem178,0.7694753323803776
ENSMUSG00000071424.10,protein_coding,Grid2,0.7686102252606157
ENSMUSG00000038227.15,protein_coding,Hoxa9,0.7671917215645606
ENSMUSG00000025223.14,protein_coding,Ldb1,0.7664163876023122
ENSMUSG00000000538.18,protein_coding,Tom1l2,0.765952136763513
ENSMUSG00000031075.18,protein_coding,Ano1,0.7645629052841827
ENSMUSG00000044681.19,protein_coding,Cnpy1,0.7645276399647281
ENSMUSG00000026103.14,protein_coding,Gls,0.7641001438662831
ENSMUSG00000015533.8,protein_coding,Itga2,0.7632565223813181
ENSMUSG00000005360.14,protein_coding,Slc1a3,0.7621514836186224
ENSMUSG00000029469.14,protein_coding,Ift81,0.761049287976766
ENSMUSG00000033768.16,protein_coding,Nrxn2,0.76044664963517
ENSMUSG00000023861.17,protein_coding,Mpc1,0.7602862776770238
ENSMUSG00000022231.9,protein_coding,Sema5a,0.7568511587839628
ENSMUSG00000024767.11,protein_coding,Otub1,0.75595301180327
ENSMUSG00000044991.10,protein_coding,1110034G24Rik,0.7533641522947518
ENSMUSG00000032231.14,protein_coding,Anxa2,0.7475760116299697
ENSMUSG00000019970.15,protein_coding,Sgk1,0.7468184926493604
ENSMUSG00000056458.16,protein_coding,Mok,0.7460808888621046
ENSMUSG00000028360.9,protein_coding,Slc44a5,0.745751133267313
ENSMUSG00000047632.10,protein_coding,Fgfbp3,0.7438988469290027
ENSMUSG00000022747.16,protein_coding,St3gal6,0.7435265384806287
ENSMUSG00000068699.12,protein_coding,Flnc,0.7426776780528025
ENSMUSG00000078490.9,protein_coding,Cfap74,0.7425003380113978
ENSMUSG00000034066.13,protein_coding,Farp2,0.7424374072874835
ENSMUSG00000051747.14,protein_coding,Ttn,0.7421109957521497
ENSMUSG00000033577.18,protein_coding,Myo6,0.7394860856607077
ENSMUSG00000074736.10,protein_coding,Syndig1,0.7388702327405914
ENSMUSG00000000567.5,protein_coding,Sox9,0.7386602981352378
ENSMUSG00000031378.14,protein_coding,Abcd1,0.7368255584803858
ENSMUSG00000033720.12,protein_coding,Sfxn5,0.7357395176282688
ENSMUSG00000066842.18,protein_coding,Hmcn1,0.7344210473058502
ENSMUSG00000060771.14,protein_coding,Tsga10,0.7343194930962736
ENSMUSG00000020105.8,protein_coding,Lrig3,0.7335609071413928
ENSMUSG00000012076.7,protein_coding,Brms1l,0.7329259723260532
ENSMUSG00000022799.4,protein_coding,Arhgap31,0.7294121054306432
ENSMUSG00000055421.8,protein_coding,Pcdh9,0.7289091008984264
ENSMUSG00000025816.15,protein_coding,Sec61a2,0.7275683851232503
ENSMUSG00000035126.19,protein_coding,Wdr78,0.7274766743183166
ENSMUSG00000059857.15,protein_coding,Ntng1,0.7260330828214545
ENSMUSG00000070372.11,protein_coding,Capza1,0.725686003507668
ENSMUSG00000029062.14,protein_coding,Cdk11b,0.7254254761702161
ENSMUSG00000039515.11,protein_coding,Ptpa,0.724781543597704
ENSMUSG00000026058.11,protein_coding,Khdrbs2,0.7237741322317683
ENSMUSG00000030310.10,protein_coding,Slc6a1,0.7233526997297083
ENSMUSG00000054555.11,protein_coding,Adam12,0.7202145895052853
ENSMUSG00000031285.14,protein_coding,Dcx,0.7187177115258749
ENSMUSG00000039621.13,protein_coding,Prex1,0.717841353841641
ENSMUSG00000030276.19,protein_coding,Ttll3,0.716962883348855
ENSMUSG00000022483.16,protein_coding,Col2a1,0.7160018845651914
ENSMUSG00000040274.11,protein_coding,Cdk6,0.7153806966753196
ENSMUSG00000020961.14,protein_coding,Ston2,0.7138097174847935
ENSMUSG00000032649.14,protein_coding,Colgalt2,0.7135450429288457
ENSMUSG00000037997.12,protein_coding,Parp11,0.7102245710344015
ENSMUSG00000059401.13,protein_coding,Mamld1,0.7094779765884551
ENSMUSG00000036109.17,protein_coding,Mbnl3,0.7080940546817837
ENSMUSG00000033278.9,protein_coding,Ptprm,0.7080602055512131
ENSMUSG00000027977.15,protein_coding,Ndst3,0.7078912066991718
ENSMUSG00000027452.11,protein_coding,Acss1,0.7072589431091487
ENSMUSG00000019899.15,protein_coding,Lama2,0.7051927823188393
ENSMUSG00000068196.4,protein_coding,Col8a1,0.7032741643466298
ENSMUSG00000061859.16,protein_coding,Patj,0.7028533087343612
ENSMUSG00000037509.19,protein_coding,Arhgef4,0.7023856077454632
ENSMUSG00000028613.14,protein_coding,Lrp8,0.7016902699295945
ENSMUSG00000024940.10,protein_coding,Ltbp3,0.701512598608576
ENSMUSG00000052572.16,protein_coding,Dlg2,0.6981025897425451
ENSMUSG00000022186.14,protein_coding,Oxct1,0.6955834123859624
ENSMUSG00000039158.11,protein_coding,Akna,0.6955238402679401
ENSMUSG00000018474.17,protein_coding,Chd3,0.6934093269387231
ENSMUSG00000021189.11,protein_coding,Atxn3,0.6932669737270949
ENSMUSG00000026797.16,protein_coding,Stxbp1,0.6903082154884671
ENSMUSG00000025968.16,protein_coding,Ndufs1,0.6891928012999909
ENSMUSG00000020029.5,protein_coding,Nudt4,0.6880072187588513
ENSMUSG00000053166.14,protein_coding,Cdh22,0.6876941789071656
ENSMUSG00000004085.14,protein_coding,Zak,0.686427370241199
ENSMUSG00000050840.8,protein_coding,Cdh20,0.6859644728342834
ENSMUSG00000021360.15,protein_coding,Gcnt2,0.6842564793720749
ENSMUSG00000010505.15,protein_coding,Myt1,0.6838891997816653
ENSMUSG00000054477.15,protein_coding,Kcnn2,0.6838640844647532
ENSMUSG00000008730.17,protein_coding,Hipk1,0.6834518653869788
ENSMUSG00000028256.16,protein_coding,Odf2l,0.6826965310651286
ENSMUSG00000030088.15,protein_coding,Aldh1l1,0.6826732557299044
ENSMUSG00000057457.11,protein_coding,Phex,0.6809313555173181
ENSMUSG00000042453.14,protein_coding,Reln,0.6795014608646233
ENSMUSG00000026917.15,protein_coding,Wdr5,0.679161641164304
ENSMUSG00000022685.8,protein_coding,Parn,0.679058686571328
ENSMUSG00000042499.13,protein_coding,Hoxd11,0.678932399445431
ENSMUSG00000030000.10,protein_coding,Add2,0.6763441334998666
ENSMUSG00000019971.9,protein_coding,Cep290,0.6758787178436544
ENSMUSG00000041341.9,protein_coding,Atg2b,0.6755366372512988
ENSMUSG00000030342.8,protein_coding,Cd9,0.6740568672480955
ENSMUSG00000040265.16,protein_coding,Dnm3,0.6738383837612929
ENSMUSG00000021136.13,protein_coding,Smoc1,0.6715335106632285
ENSMUSG00000033981.14,protein_coding,Gria2,0.6708363700715381
ENSMUSG00000039103.12,protein_coding,Nexn,0.6705743788382026
ENSMUSG00000030209.14,protein_coding,Grin2b,0.6703451826328253
ENSMUSG00000052854.15,protein_coding,Nrk,0.6702117930535502
ENSMUSG00000001542.6,protein_coding,Ell2,0.6695221761835205
ENSMUSG00000028439.14,protein_coding,Fam219a,0.668622439347617
ENSMUSG00000061028.7,protein_coding,Clasrp,0.6683340716856377
ENSMUSG00000079277.9,protein_coding,Hoxd3,0.6678252435153922
ENSMUSG00000052581.13,protein_coding,Lrrtm4,0.667017712337248
ENSMUSG00000043557.15,protein_coding,Mdga1,0.6667030504438111
ENSMUSG00000039328.11,protein_coding,Rnf122,0.6648650581689878
ENSMUSG00000021848.15,protein_coding,Otx2,0.6647619192070584
ENSMUSG00000001506.10,protein_coding,Col1a1,0.6618611855140166
ENSMUSG00000030203.17,protein_coding,Dusp16,0.6618226163559942
ENSMUSG00000014668.15,protein_coding,Chfr,0.6595597345544653
ENSMUSG00000013033.16,protein_coding,Adgrl1,0.659386689169537
ENSMUSG00000019775.17,protein_coding,Rgs17,0.6584473399911226
ENSMUSG00000096914.3,protein_coding,Galntl6,0.6583100379231155
ENSMUSG00000024268.15,protein_coding,Celf4,0.6583024060819115
ENSMUSG00000009741.15,protein_coding,Ubp1,0.6574794226840379
ENSMUSG00000035653.16,protein_coding,Lrfn5,0.6569430615549025
ENSMUSG00000026837.15,protein_coding,Col5a1,0.6563142291372513
ENSMUSG00000037443.13,protein_coding,Cep85,0.656177115757544
ENSMUSG00000048537.16,protein_coding,Phldb1,0.6558750169654507
ENSMUSG00000054792.15,protein_coding,Klhl18,0.6555112581851544
ENSMUSG00000022485.3,protein_coding,Hoxc5,0.6546619460178915
ENSMUSG00000021061.15,protein_coding,Sptb,0.6545861264444437
ENSMUSG00000028176.11,protein_coding,Lrrc7,0.6544064846914314
ENSMUSG00000090059.4,protein_coding,Olfr1062,0.6509409982674925
ENSMUSG00000031302.16,protein_coding,Nlgn3,0.6462080724312221
ENSMUSG00000022099.16,protein_coding,Dmtn,0.6452388829128963
ENSMUSG00000024970.4,protein_coding,AI846148,0.6449335980727438
ENSMUSG00000034973.16,protein_coding,Dopey1,0.6440505007227869
ENSMUSG00000027111.15,protein_coding,Itga6,0.6438684502681153
ENSMUSG00000036885.14,protein_coding,Arhgef26,0.6427847000725494
ENSMUSG00000032724.5,protein_coding,Abtb2,0.642721937426496
ENSMUSG00000020061.17,protein_coding,Mybpc1,0.6418761266019988
ENSMUSG00000039782.14,protein_coding,Cpeb2,0.6417782669254637
ENSMUSG00000039488.15,protein_coding,Cntn5,0.6417525657831811
ENSMUSG00000052613.16,protein_coding,Pcdh15,0.6415983663637317
ENSMUSG00000030536.10,protein_coding,Iqgap1,0.6398293260678511
